Ikonographie;Anzahl der Datensätze pro Ikonographie
Wohnhaus, Etagenhaus;196
Werk der angewandten Kunst (Metalle);108
Tierornamente;163
Tiere als Ornament;183
städtisches Leben;143
Segelschiff, Segelboot;116
Schwert;137
Schiffe;137
Säule, Pfeiler (Architektur);115
Reisen/Tourismus;101
Profanarchitektur;141
Pflanzen, Vegetation;157
Pflanzen und Kräuter;182
Pferd;124
Museum;172
Möbel und Hausrat;155
Meer;110
Mädchen;147
Laub- und Bandelwerk;176
Landstraße, Weg, Pfad;106
Landschaften (gemäßigte Zone);136
Küste;102
Künstler;105
Kircheninneres;166
Kirchenausstattung;186
Kind;135
Kartusche (Ornament);117
junger Mann, Jugendlicher;114
Junge;110
Interieur;187
historisches Ereignis, Situation;111
Hafen;120
Gewässer;181
Gärten und Parks;152
Früchte;138
Fluss;181
Fassadendekorationen (Architektur);121
Fabelwesen, Monster, legendäre Gestalten;145
Fabeltiere;120
Entwurf, Plan eines Gebäudes;142
Buchstaben, Alphabet, Schrift;120
Brustbild, Dreiviertelansicht;104
Boot;199
Behälter;134
Außenbau einer Kirche;194
Armhaltungen, Gesten;187
Architekturdarstellungen;179
architektonische Details;121
